words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
00,0,1,0,0,0,1,1,1,0
000,0,0,0,0,0,0,2,0,0
0000,0,0,0,0,0,1,0,0,0
05,0,0,2,0,0,0,0,0,0
06,0,0,0,0,0,1,0,0,0
070,0,0,0,0,0,0,0,0,2
0th,0,0,0,0,0,0,0,1,0
40,0,0,0,0,0,1,0,0,0
405,0,0,0,0,0,0,1,0,0
4door,0,0,0,0,0,1,0,0,0
4th,0,0,0,1,0,0,0,0,0
50,0,1,2,0,0,1,1,0,1
500,0,0,0,0,0,0,0,1,0
50k,0,0,0,0,1,0,0,0,0
5thousand,0,0,0,0,0,1,0,0,0
600,0,1,0,0,0,0,0,0,0
655,0,0,0,0,0,1,0,0,0
66,0,0,0,0,0,1,0,0,0
79th,0,0,0,1,0,0,1,0,0
7eleven,0,0,0,0,0,0,0,1,0
86,0,0,2,0,0,0,0,0,0
87,0,1,0,0,0,2,0,0,0
88,0,0,0,0,0,0,0,1,0
8th,0,0,0,1,0,0,0,0,0
8yearold,0,0,0,0,0,0,1,0,0
90,0,0,0,0,0,0,1,0,0
908,0,0,0,0,0,0,1,0,0
999,0,0,0,1,0,0,0,0,0
aaaaahhh,0,0,0,0,0,0,0,1,0
aaliyah,0,0,0,0,0,1,0,0,0
aap,0,0,2,0,0,0,1,0,0
aaron,0,0,0,1,0,0,0,0,0
abandoned,0,0,0,0,0,1,0,0,0
abby,0,0,0,1,0,0,0,0,0
abercrombie,0,0,0,0,0,0,0,0,1
abernathy,0,0,0,0,1,0,0,0,0
abi,0,0,0,0,0,1,0,0,0
abomination,0,0,0,0,1,0,0,0,0
abort,0,0,0,0,0,0,0,1,0
abraham,0,0,2,0,0,0,0,0,0
abuse,0,0,0,0,0,1,0,0,0
accent,0,0,0,0,1,0,0,0,0
accept,0,0,2,0,1,0,0,0,0
acceptance,0,0,0,0,1,0,0,0,0
accepted,0,0,0,0,0,0,1,0,0
accepting,0,0,0,0,0,0,1,0,0
accident,0,0,0,2,0,2,0,0,0
accidentally,0,0,0,0,1,0,0,0,0
accommodated,0,0,0,0,0,1,0,0,0
accomplished,0,0,0,0,0,0,1,0,0
account,0,0,0,0,0,1,0,0,0
ace,0,0,0,0,1,0,0,0,0
ache,0,0,0,0,1,0,0,0,0
achilles,0,0,0,0,1,0,0,0,0
acid,0,0,0,1,0,0,0,0,0
ackeejuice,0,0,0,0,0,0,0,1,0
